# i, j, E_i, E_j
0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 -1.214701526692238417e-05 -0.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000000e+00 -2.348877299677730793e-05 -0.000000000000000000e+00
0.000000000000000000e+00 3.000000000000000000e+00 -3.323308473090946162e-05 -0.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 -4.522461449335907566e-05 -0.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e+00 -5.444590482285441638e-05 -0.000000000000000000e+00
0.000000000000000000e+00 6.000000000000000000e+00 -6.735120702857010859e-05 -0.000000000000000000e+00
0.000000000000000000e+00 7.000000000000000000e+00 -7.609919043601974119e-05 -0.000000000000000000e+00
0.000000000000000000e+00 8.000000000000000000e+00 -8.995093561135770728e-05 -0.000000000000000000e+00
0.000000000000000000e+00 9.000000000000000000e+00 -9.818977970115278149e-05 -0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+01 -1.129337912131397355e-04 -0.000000000000000000e+00
0.000000000000000000e+00 1.100000000000000000e+01 -1.205403655337976152e-04 -0.000000000000000000e+00
0.000000000000000000e+00 1.200000000000000000e+01 -1.360146195049337912e-04 -0.000000000000000000e+00
0.000000000000000000e+00 1.300000000000000000e+01 -1.427548168127522105e-04 -0.000000000000000000e+00
0.000000000000000000e+00 1.400000000000000000e+01 -1.586548238698583648e-04 -0.000000000000000000e+00
0.000000000000000000e+00 1.500000000000000000e+01 -1.641903256495108956e-04 -0.000000000000000000e+00
0.000000000000000000e+00 1.600000000000000000e+01 -1.800618221712652284e-04 -0.000000000000000000e+00
0.000000000000000000e+00 1.700000000000000000e+01 -1.839598750654972278e-04 -0.000000000000000000e+00
0.000000000000000000e+00 1.800000000000000000e+01 -1.992115366049163993e-04 -0.000000000000000000e+00
0.000000000000000000e+00 1.900000000000000000e+01 -2.009923853582421319e-04 -0.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000000e+01 -2.149470512954051527e-04 -0.000000000000000000e+00
0.000000000000000000e+00 2.100000000000000000e+01 -2.141551954430414423e-04 -0.000000000000000000e+00
0.000000000000000000e+00 2.200000000000000000e+01 -2.261358791252871100e-04 -0.000000000000000000e+00
0.000000000000000000e+00 2.300000000000000000e+01 -2.224350360057655287e-04 -0.000000000000000000e+00
0.000000000000000000e+00 2.400000000000000000e+01 -2.318635407494044139e-04 -0.000000000000000000e+00
0.000000000000000000e+00 2.500000000000000000e+01 -2.251171738221933126e-04 -0.000000000000000000e+00
0.000000000000000000e+00 2.600000000000000000e+01 -2.316057115754227872e-04 -0.000000000000000000e+00
0.000000000000000000e+00 2.700000000000000000e+01 -2.219343424777512296e-04 -0.000000000000000000e+00
0.000000000000000000e+00 2.800000000000000000e+01 -2.253575322841954570e-04 -0.000000000000000000e+00
0.000000000000000000e+00 2.900000000000000000e+01 -2.131432318924725657e-04 -0.000000000000000000e+00
0.000000000000000000e+00 3.000000000000000000e+01 -2.136241577986433603e-04 -0.000000000000000000e+00
0.000000000000000000e+00 3.100000000000000000e+01 -1.994340025156592458e-04 -0.000000000000000000e+00
0.000000000000000000e+00 3.200000000000000000e+01 -1.973051763676006410e-04 -0.000000000000000000e+00
0.000000000000000000e+00 3.300000000000000000e+01 -1.818129299402252753e-04 -0.000000000000000000e+00
0.000000000000000000e+00 3.400000000000000000e+01 -1.775181470321953283e-04 -0.000000000000000000e+00
0.000000000000000000e+00 3.500000000000000000e+01 -1.613969439493618293e-04 -0.000000000000000000e+00
0.000000000000000000e+00 3.600000000000000000e+01 -1.554075434331543093e-04 -0.000000000000000000e+00
0.000000000000000000e+00 3.700000000000000000e+01 -1.392388824759442862e-04 -0.000000000000000000e+00
0.000000000000000000e+00 3.800000000000000000e+01 -1.319753710348750748e-04 -0.000000000000000000e+00
0.000000000000000000e+00 3.900000000000000000e+01 -1.162101207382774492e-04 -0.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+01 -1.080019172651848264e-04 -0.000000000000000000e+00
0.000000000000000000e+00 4.100000000000000000e+01 -9.293868393784484564e-05 -0.000000000000000000e+00
0.000000000000000000e+00 4.200000000000000000e+01 -8.400497599894347943e-05 -0.000000000000000000e+00
0.000000000000000000e+00 4.300000000000000000e+01 -6.980359143139254409e-05 -0.000000000000000000e+00
0.000000000000000000e+00 4.400000000000000000e+01 -6.025842896619069847e-05 -0.000000000000000000e+00
0.000000000000000000e+00 4.500000000000000000e+01 -4.697450449070187327e-05 -0.000000000000000000e+00
0.000000000000000000e+00 4.600000000000000000e+01 -3.685022578737033513e-05 -0.000000000000000000e+00
