# i, j, E_i, E_j
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 7.254631585809258326e-06
0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 1.397132890672433768e-05
0.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 1.975733278849796523e-05
0.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00 2.691683670987966278e-05
0.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00 3.232495235724446849e-05
0.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00 4.001387946351553349e-05
0.000000000000000000e+00 7.000000000000000000e+00 0.000000000000000000e+00 4.515702179568450108e-05
0.000000000000000000e+00 8.000000000000000000e+00 0.000000000000000000e+00 5.334298354382759099e-05
0.000000000000000000e+00 9.000000000000000000e+00 0.000000000000000000e+00 5.797669316688204257e-05
0.000000000000000000e+00 1.000000000000000000e+01 0.000000000000000000e+00 6.666077833632830642e-05
0.000000000000000000e+00 1.100000000000000000e+01 0.000000000000000000e+00 7.098288749369819359e-05
0.000000000000000000e+00 1.200000000000000000e+01 0.000000000000000000e+00 7.990483302876712744e-05
0.000000000000000000e+00 1.300000000000000000e+01 0.000000000000000000e+00 8.353813701432074559e-05
0.000000000000000000e+00 1.400000000000000000e+01 0.000000000000000000e+00 9.260060979708946590e-05
0.000000000000000000e+00 1.500000000000000000e+01 0.000000000000000000e+00 9.550997820553801157e-05
0.000000000000000000e+00 1.600000000000000000e+01 0.000000000000000000e+00 1.044559913628174416e-04
0.000000000000000000e+00 1.700000000000000000e+01 0.000000000000000000e+00 1.064286269606865514e-04
0.000000000000000000e+00 1.800000000000000000e+01 0.000000000000000000e+00 1.150258601960786099e-04
0.000000000000000000e+00 1.900000000000000000e+01 0.000000000000000000e+00 1.157771959285806238e-04
0.000000000000000000e+00 2.000000000000000000e+01 0.000000000000000000e+00 1.235698226942920537e-04
0.000000000000000000e+00 2.100000000000000000e+01 0.000000000000000000e+00 1.229650442538704784e-04
0.000000000000000000e+00 2.200000000000000000e+01 0.000000000000000000e+00 1.296301747874476894e-04
0.000000000000000000e+00 2.300000000000000000e+01 0.000000000000000000e+00 1.274638643986248038e-04
0.000000000000000000e+00 2.400000000000000000e+01 0.000000000000000000e+00 1.327081991257920719e-04
0.000000000000000000e+00 2.500000000000000000e+01 0.000000000000000000e+00 1.288494522512665459e-04
0.000000000000000000e+00 2.600000000000000000e+01 0.000000000000000000e+00 1.325694432510825639e-04
0.000000000000000000e+00 2.700000000000000000e+01 0.000000000000000000e+00 1.271476078881906386e-04
0.000000000000000000e+00 2.800000000000000000e+01 0.000000000000000000e+00 1.292204279302756735e-04
0.000000000000000000e+00 2.900000000000000000e+01 0.000000000000000000e+00 1.223387071940630687e-04
0.000000000000000000e+00 3.000000000000000000e+01 0.000000000000000000e+00 1.228736991787390354e-04
0.000000000000000000e+00 3.100000000000000000e+01 0.000000000000000000e+00 1.148715812793206623e-04
0.000000000000000000e+00 3.200000000000000000e+01 0.000000000000000000e+00 1.138550762789279169e-04
0.000000000000000000e+00 3.300000000000000000e+01 0.000000000000000000e+00 1.051721324027995552e-04
0.000000000000000000e+00 3.400000000000000000e+01 0.000000000000000000e+00 1.030122805198264931e-04
0.000000000000000000e+00 3.500000000000000000e+01 0.000000000000000000e+00 9.379088417789478087e-05
0.000000000000000000e+00 3.600000000000000000e+01 0.000000000000000000e+00 9.056464551419189950e-05
0.000000000000000000e+00 3.700000000000000000e+01 0.000000000000000000e+00 8.133836610586849393e-05
0.000000000000000000e+00 3.800000000000000000e+01 0.000000000000000000e+00 7.735239934925754797e-05
0.000000000000000000e+00 3.900000000000000000e+01 0.000000000000000000e+00 6.826569332192685899e-05
0.000000000000000000e+00 4.000000000000000000e+01 0.000000000000000000e+00 6.358854365287028212e-05
0.000000000000000000e+00 4.100000000000000000e+01 0.000000000000000000e+00 5.480717962024999452e-05
0.000000000000000000e+00 4.200000000000000000e+01 0.000000000000000000e+00 4.970967012829045217e-05
0.000000000000000000e+00 4.300000000000000000e+01 0.000000000000000000e+00 4.136444276046877006e-05
0.000000000000000000e+00 4.400000000000000000e+01 0.000000000000000000e+00 3.574802417732664186e-05
0.000000000000000000e+00 4.500000000000000000e+01 0.000000000000000000e+00 2.781017419215636198e-05
0.000000000000000000e+00 4.600000000000000000e+01 0.000000000000000000e+00 2.186016005403716323e-05
0.000000000000000000e+00 4.700000000000000000e+01 0.000000000000000000e+00 1.448306814832328659e-05
0.000000000000000000e+00 4.800000000000000000e+01 0.000000000000000000e+00 8.286923850244023551e-06
